	time_arr_filter	jy_lin	jy_ext	jy_unsc
0	0.0	1.9907015799671015	2.4018526275498493	2.008528145355104
1	0.005	2.157302054849708	2.9154970666737126	1.9295941130083425
2	0.01	2.1821474448221787	3.425248645600657	1.983372509030892
3	0.015	2.3227803373280826	3.9305810861136887	1.9158072068065417
4	0.02	2.4385435513709197	4.419684926303679	2.0016187824055915
5	0.025	2.483535016498087	4.977972838959188	1.9512441354264707
6	0.03	2.7416064481700677	5.64309340959268	1.9005049711096884
7	0.035	2.815872446705079	6.156643581752498	1.8872436528319363
8	0.04	3.058944521321522	6.695354030639089	1.9246941602681051
9	0.045	3.219356646003249	7.219340161094659	1.8893225364340434
10	0.05	3.4167143036402616	7.83025562471798	1.8825973478077882
11	0.055	3.6666468608731906	8.369549079453309	1.9547559522347993
12	0.06	3.933603986394656	8.971878468758359	1.9232078690865388
13	0.065	4.232112897904331	9.451678174238266	1.8040214024842998
14	0.07	4.487221542829161	9.936630381003766	1.8237620553016436
15	0.075	4.772310757344729	10.39566668068325	1.8436711704944309
16	0.08	5.044085059032459	10.804979957857338	1.8108468310113068
17	0.085	5.3994841940038105	11.194710008608343	1.7710315160310808
18	0.09	5.681612069700208	11.613933340582518	1.8209426143102048
19	0.095	6.017789394048893	11.972826328011513	1.7895415292470747
20	0.1	6.385248662928956	12.256458774255922	1.721852262019597
21	0.105	6.744047187526027	12.534891168865682	1.7956873022848463
22	0.11	7.053030319716764	12.576805510975188	1.7860584622734983
23	0.115	7.425740358629907	12.807654519310567	1.7963855404642262
24	0.12	7.89191164651808	12.908677617647289	1.8148931909304276
25	0.125	8.21380444693459	12.886622343700441	1.7433826313019853
26	0.13	8.600623708428504	12.865356027175505	1.7404025634686977
27	0.135	8.958637352441384	12.842080555502156	1.7323460605101328
28	0.14	9.340992402030134	12.679427460809913	1.706284420486279
29	0.145	9.701783475721745	12.513922977800739	1.7965035204989621
30	0.15	10.033206037854077	12.198496476450162	1.7240460102752881
31	0.155	10.363613018734158	11.906202815179002	1.668064660910528
32	0.16	10.751319660836751	11.632780956809748	1.7205755645696095
33	0.165	11.13147208822477	11.153871994809025	1.7055712381701773
34	0.17	11.39276689994302	10.707660185653262	1.666770334443949
35	0.17500000000000002	11.743896565108495	10.21036627459689	1.714354267321311
36	0.18	12.002015747638945	9.630142159067965	1.640400036694818
37	0.185	12.24611089955663	8.988121505420281	1.6633125482804476
38	0.19	12.524890494591151	8.349178145690258	1.6654626618832897
39	0.195	12.71415835350575	7.670186426257404	1.6707905661214382
40	0.2	12.950275283519161	6.885041585456026	1.6394819036425146
41	0.20500000000000002	13.14111846519957	6.101588487903216	1.5852192244788899
42	0.21	13.288090680871589	5.286589429356881	1.5924051003907573
43	0.215	13.433565347162245	4.448774128022565	1.6520320219014157
44	0.22	13.538670661811468	3.6317104840306738	1.5586009053455832
45	0.225	13.651408078577413	2.6742816837883727	1.6144040787442353
46	0.23	13.658464714814464	1.7729564528977946	1.5621694211158217
47	0.23500000000000001	13.769172004224147	0.8026383904279311	1.5654510048941455
48	0.24	13.748982266557523	-0.10594586188083607	1.5966882275179515
49	0.245	13.724275422971253	-1.0327821131877366	1.5851122046455688
50	0.25	13.676854804379278	-1.9633600115979812	1.5593840553808604
51	0.255	13.505763332995514	-2.97356988682498	1.511236099069943
52	0.26	13.433605115689435	-3.8590904076154544	1.551924435665368
53	0.265	13.325182082672562	-4.831139870950654	1.5172091155596494
54	0.27	13.152287599311405	-5.780111598755697	1.4829637935855637
55	0.275	13.00202540704838	-6.672476860339663	1.5038272332670513
56	0.28	12.736035676162917	-7.521162416162495	1.5060258860020426
57	0.28500000000000003	12.506103553287145	-8.394629297103247	1.469247936823607
58	0.29	12.212546273404556	-9.249248546943228	1.5138711097067479
59	0.295	11.91080006844657	-10.083030262260781	1.4516021943959396
60	0.3	11.617828245603116	-10.869329864901234	1.476685221497964
61	0.305	11.248379164461575	-11.62442755465549	1.4657451546382612
62	0.31	10.87214726591903	-12.225226439367102	1.4621274257549093
63	0.315	10.460090802207331	-12.936593283850518	1.4836448262126607
64	0.32	10.144370236021162	-13.573822950783441	1.4029286654088193
65	0.325	9.650390129420233	-14.166454045912626	1.50851412668589
66	0.33	9.196987889592593	-14.690721613356395	1.426235001706277
67	0.335	8.722728653618244	-15.134236520299371	1.439773617965577
68	0.34	8.319458096876701	-15.637875407576457	1.463229948321216
69	0.34500000000000003	7.763218403218319	-15.985773761931725	1.4146381132351047
70	0.35000000000000003	7.283660127961255	-16.328849955573972	1.3730979013899605
71	0.355	6.783893897185513	-16.588731630172852	1.3620223675237264
72	0.36	6.299376576844648	-16.800810386451015	1.3665499565742403
73	0.365	5.804591918325467	-16.982888881935523	1.3966135295423976
74	0.37	5.278753934900349	-17.07626260422445	1.352685745054583
75	0.375	4.724021310929296	-17.190001869372235	1.3148086851316279
76	0.38	4.248215247498469	-17.200645509706316	1.3931743641178798
77	0.385	3.750899404366579	-17.142722165388662	1.3431317275436496
78	0.39	3.16542688507661	-17.129253977752402	1.3270064558815873
79	0.395	2.6407435947987326	-16.981920670962964	1.322957575295851
80	0.4	2.1658959293814823	-16.814496991710197	1.3387213248474734
81	0.405	1.651073600913764	-16.570003316581126	1.310576214940227
82	0.41000000000000003	1.1648962857584528	-16.222013916095136	1.3134543413886797
83	0.41500000000000004	0.6546182223709492	-15.975816503932277	1.2824525309565102
84	0.42	0.14983115184453066	-15.594262053916689	1.3470546176912956
85	0.425	-0.33305978138299036	-15.243447307964558	1.312573611669426
86	0.43	-0.7623189101813143	-14.86869946618572	1.3387601164513283
87	0.435	-1.2243002247582164	-14.46072779968115	1.239486600602461
88	0.44	-1.6355455565566335	-13.960837870275313	1.2694070023082717
89	0.445	-2.1023544628920803	-13.427273245689424	1.3041982557366232
90	0.45	-2.409480890414169	-12.956039841682284	1.1997691902747991
91	0.455	-2.8348032725101358	-12.475924786726761	1.2718739131228702
92	0.46	-3.1834413465146842	-11.923167829189724	1.2804173863620099
93	0.465	-3.5573328868344527	-11.29783535320772	1.3013430782894775
94	0.47000000000000003	-3.9332273692535553	-10.796214281330991	1.2128728815019965
95	0.47500000000000003	-4.240960376160935	-10.195026067972934	1.2707190823241645
96	0.48	-4.516671518251226	-9.60334267645673	1.2779949175490117
97	0.485	-4.768747670380766	-9.075757840643975	1.2502205342751116
98	0.49	-5.07445778121763	-8.491967888855546	1.2289487039350373
99	0.495	-5.298307228858476	-7.915550472181142	1.2107293522128562
100	0.5	-5.553454455530587	-7.369638692395583	1.2086809827893317
101	0.505	-5.694459616243169	-6.80971656130115	1.231232773905645
102	0.51	-5.926344113302417	-6.2225230534086915	1.1660327966483426
103	0.515	-6.108680572333802	-5.768259270659091	1.1433154623605835
104	0.52	-6.305516208299415	-5.182708115429993	1.1939707809982234
105	0.525	-6.405499970677468	-4.770786206935951	1.0905349995074731
106	0.53	-6.541009954284258	-4.313686632947116	1.1863593326963977
107	0.535	-6.627399765892635	-3.8371454171424273	1.1461682890406701
108	0.54	-6.79830919630733	-3.4088243880759843	1.17238707987473
109	0.545	-6.8399150317894435	-3.020228002529482	1.1616698389431537
110	0.55	-6.947619671208667	-2.639851513634527	1.1482337147252106
111	0.555	-7.046529906103487	-2.2938366556001633	1.1225264693657384
112	0.56	-7.070181902454184	-2.010101004214901	1.1507249992988304
113	0.5650000000000001	-7.118686309961867	-1.7481193706652305	1.1974312511555267
